epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13606.1,0.99965,0.75308,1.19868,0.78557,0.68543,0.75699,0.58871,1.06759,0.96731,1.25306,0.000848969,0.000848969,0.000848969
43,13829.9,0.99871,0.75619,1.19785,0.78769,0.69441,0.7591,0.5924,1.06616,0.9756,1.25876,0.000834822,0.000834822,0.000834822
44,14656.1,0.99213,0.74118,1.19404,0.7923,0.69121,0.76604,0.59465,1.06827,0.95521,1.25672,0.000820675,0.000820675,0.000820675
45,15372.4,0.99275,0.74268,1.19343,0.79013,0.69034,0.76445,0.59864,1.06824,0.95267,1.26382,0.000806528,0.000806528,0.000806528
46,15604.8,0.99309,0.73529,1.18851,0.80456,0.68512,0.76327,0.59325,1.06657,0.96953,1.25724,0.00079238,0.00079238,0.00079238
47,15832.9,0.98709,0.73706,1.18667,0.78496,0.69016,0.75795,0.58952,1.06775,0.94417,1.25778,0.000778233,0.000778233,0.000778233
48,16058.9,0.98137,0.73075,1.18686,0.79251,0.69192,0.76278,0.59255,1.06768,0.95845,1.25422,0.000764086,0.000764086,0.000764086
49,16665.9,0.9779,0.72496,1.18487,0.79,0.69729,0.76381,0.60061,1.05303,0.95114,1.25355,0.000749939,0.000749939,0.000749939
50,16905.1,0.98439,0.72516,1.18092,0.80714,0.67954,0.76349,0.59813,1.06327,0.95391,1.25054,0.000735792,0.000735792,0.000735792
51,17501.9,0.97127,0.72717,1.18079,0.79671,0.69291,0.7693,0.6034,1.05485,0.93319,1.25874,0.000721645,0.000721645,0.000721645
52,17735,0.96391,0.7179,1.18705,0.78882,0.70388,0.76792,0.60223,1.04805,0.93903,1.25364,0.000707498,0.000707498,0.000707498
53,17950,0.96654,0.71226,1.18237,0.79006,0.68911,0.7612,0.59462,1.05729,0.93638,1.25332,0.000693351,0.000693351,0.000693351
54,18389.5,0.97776,0.72028,1.17509,0.78911,0.69566,0.76696,0.59957,1.05233,0.94343,1.2539,0.000679204,0.000679204,0.000679204
55,19189.5,0.97278,0.71264,1.17983,0.79462,0.69075,0.76476,0.60066,1.04941,0.93659,1.24331,0.000665057,0.000665057,0.000665057
56,19422.4,0.97129,0.7081,1.16935,0.79459,0.69755,0.76881,0.60289,1.05479,0.93918,1.24061,0.000650909,0.000650909,0.000650909
57,19662.2,0.96714,0.70198,1.17235,0.7934,0.69628,0.77023,0.60317,1.05312,0.94219,1.25176,0.000636762,0.000636762,0.000636762
58,19886.3,0.96096,0.70488,1.17493,0.79228,0.69138,0.76399,0.59934,1.05053,0.94842,1.25326,0.000622615,0.000622615,0.000622615
59,254.967,0.96364,0.7075,1.18767,0.80052,0.69454,0.76573,0.59512,1.06202,0.96276,1.27863,0.000608468,0.000608468,0.000608468
60,462.986,0.95498,0.6883,1.17597,0.79184,0.69584,0.76729,0.5983,1.05318,0.94792,1.26248,0.000594321,0.000594321,0.000594321
61,948.67,0.95111,0.68758,1.1749,0.78546,0.70371,0.77229,0.60391,1.05219,0.94457,1.25886,0.000580174,0.000580174,0.000580174
62,1221.83,0.95142,0.69026,1.17741,0.79512,0.68778,0.76235,0.60038,1.0453,0.94438,1.25167,0.000566027,0.000566027,0.000566027
63,1459.98,0.95448,0.68516,1.17611,0.80283,0.68977,0.76985,0.60222,1.05071,0.94249,1.25577,0.00055188,0.00055188,0.00055188
64,1693.97,0.93682,0.67119,1.16654,0.8045,0.69729,0.77235,0.60727,1.04625,0.92986,1.25427,0.000537733,0.000537733,0.000537733
65,1924.18,0.94029,0.67224,1.16527,0.7998,0.69314,0.76797,0.60208,1.05125,0.9391,1.25317,0.000523586,0.000523586,0.000523586
66,2167.38,0.94747,0.67684,1.16693,0.79291,0.70068,0.7722,0.60693,1.04701,0.92456,1.25204,0.000509438,0.000509438,0.000509438
67,2808.73,0.9395,0.66693,1.16334,0.80131,0.69341,0.76941,0.60529,1.04827,0.93492,1.25277,0.000495291,0.000495291,0.000495291
68,3044.49,0.93593,0.66607,1.16734,0.79415,0.70193,0.77189,0.60666,1.04484,0.92453,1.25063,0.000481144,0.000481144,0.000481144
69,3255.24,0.93729,0.67287,1.16638,0.79003,0.70055,0.77112,0.60649,1.05032,0.92825,1.25198,0.000466997,0.000466997,0.000466997
70,4012.67,0.93452,0.67117,1.15733,0.78627,0.70741,0.7721,0.60681,1.04722,0.93512,1.25207,0.00045285,0.00045285,0.00045285
71,4244.41,0.92932,0.65686,1.16057,0.80189,0.70024,0.77573,0.60952,1.04354,0.93143,1.25238,0.000438703,0.000438703,0.000438703
72,4784.07,0.93725,0.66302,1.15458,0.80197,0.69702,0.77513,0.60979,1.0446,0.92527,1.2502,0.000424556,0.000424556,0.000424556
73,5019.12,0.9343,0.6644,1.15189,0.80581,0.70064,0.77607,0.61073,1.04768,0.92481,1.24968,0.000410409,0.000410409,0.000410409
74,5397.76,0.92853,0.66148,1.15663,0.80754,0.69813,0.77567,0.61139,1.04941,0.93119,1.25373,0.000396262,0.000396262,0.000396262
75,5803.53,0.92326,0.64843,1.15166,0.79421,0.70632,0.77681,0.61164,1.04815,0.92195,1.25024,0.000382115,0.000382115,0.000382115
76,6055.15,0.92356,0.64821,1.14714,0.80019,0.70465,0.77458,0.60769,1.04847,0.93477,1.25294,0.000367967,0.000367967,0.000367967
77,6285.2,0.92805,0.65087,1.14743,0.80021,0.69982,0.77117,0.60723,1.04351,0.92404,1.24993,0.00035382,0.00035382,0.00035382
78,6514.31,0.92137,0.64478,1.15138,0.80458,0.70136,0.77324,0.60943,1.04519,0.91715,1.2494,0.000339673,0.000339673,0.000339673
79,6809.31,0.91247,0.64175,1.14609,0.796,0.70478,0.77377,0.61195,1.04223,0.93014,1.25353,0.000325526,0.000325526,0.000325526
80,7470.43,0.91904,0.64086,1.14434,0.80619,0.70295,0.77619,0.61396,1.04201,0.93868,1.2474,0.000311379,0.000311379,0.000311379
81,7679.11,0.91633,0.6372,1.14585,0.81297,0.69814,0.77627,0.61277,1.04268,0.92587,1.24583,0.000297232,0.000297232,0.000297232
82,270.237,0.90272,0.62352,1.14525,0.80306,0.70545,0.77646,0.6142,1.04405,0.93074,1.25219,0.000283085,0.000283085,0.000283085
83,701.092,0.89822,0.61531,1.13768,0.81505,0.69801,0.77947,0.61651,1.03627,0.92502,1.24917,0.000268938,0.000268938,0.000268938
84,1197.95,0.89685,0.61517,1.14061,0.80901,0.70248,0.77874,0.61447,1.03936,0.9363,1.25189,0.000254791,0.000254791,0.000254791
85,1507.33,0.89558,0.61674,1.14175,0.80389,0.70242,0.77502,0.61323,1.03985,0.93836,1.24896,0.000240644,0.000240644,0.000240644
86,1737.7,0.89686,0.61271,1.14173,0.80025,0.70487,0.77588,0.61253,1.04083,0.93519,1.25013,0.000226497,0.000226497,0.000226497
87,1970.76,0.88315,0.59973,1.13306,0.80212,0.70275,0.77436,0.61213,1.03699,0.94118,1.24839,0.000212349,0.000212349,0.000212349
88,2200.64,0.8843,0.60179,1.13265,0.80501,0.70101,0.77393,0.61189,1.03945,0.93511,1.25229,0.000198202,0.000198202,0.000198202
89,2440.39,0.89185,0.60587,1.13413,0.80016,0.70563,0.77533,0.61371,1.03879,0.9321,1.25096,0.000184055,0.000184055,0.000184055
90,3146.5,0.88711,0.60014,1.13155,0.79709,0.70841,0.775,0.61286,1.03938,0.93585,1.2506,0.000169908,0.000169908,0.000169908
91,3994.9,0.90455,0.62992,1.14081,0.80108,0.70556,0.77514,0.61181,1.04249,0.93399,1.25364,0.000155761,0.000155761,0.000155761
92,4246.49,0.90088,0.62504,1.13836,0.79813,0.70833,0.77713,0.61393,1.04148,0.92745,1.25111,0.000141614,0.000141614,0.000141614
93,4453.45,0.90705,0.62512,1.14019,0.79584,0.71255,0.77909,0.61565,1.03804,0.91872,1.25125,0.000127467,0.000127467,0.000127467
94,5688.76,0.89472,0.62076,1.14117,0.80238,0.70808,0.7782,0.61504,1.03917,0.91978,1.25115,0.00011332,0.00011332,0.00011332
95,6818.65,0.89566,0.62029,1.13976,0.80557,0.70317,0.77806,0.61558,1.038,0.92438,1.24996,9.91726e-05,9.91726e-05,9.91726e-05
96,7113.18,0.89652,0.61851,1.13889,0.79276,0.71111,0.77589,0.61429,1.03771,0.92454,1.25119,8.50255e-05,8.50255e-05,8.50255e-05
97,7344.28,0.88879,0.61458,1.13849,0.79259,0.71364,0.77768,0.61551,1.03708,0.92205,1.25229,7.08784e-05,7.08784e-05,7.08784e-05
98,8298.98,0.89412,0.61641,1.13815,0.79423,0.71215,0.77728,0.61527,1.03593,0.92561,1.25142,5.67313e-05,5.67313e-05,5.67313e-05
99,8542.83,0.89636,0.61866,1.13722,0.79645,0.71224,0.77808,0.6163,1.03913,0.9237,1.25014,4.25842e-05,4.25842e-05,4.25842e-05
100,8789.46,0.90126,0.62231,1.13919,0.79765,0.71131,0.77887,0.6169,1.03738,0.9209,1.24929,2.84371e-05,2.84371e-05,2.84371e-05
